
População final de genótipos (elitismo)
     0   1   2   3   4   5   6   7   8   9   10
0    5   1   8   2   7   6   9   3   0   4  10
1    5   1   8   2   7   6   9   3   0   4  10
2    5   1   8   7   3   6   9   2   0   4  10
3    5   1   8   7   2   6   9   3   0   4  10
4    5   1   8   7   2   6   9   3   0   4  10
5    5   1   8   7   2   6   9   3   0   4  10
6    5   1   6   7   2   8   9   3   0   4  10
7    5   1   8   9   2   6   7   3   0   4  10
8    5   1   8   7   2   6   9   3   0   4  10
9    5   1   8   7   2   6   9   3   0   4  10
10   5   1   8   7   2   6   9   3   0   4  10
11   5   1   8   7   2   6   9   3   0   4  10
12   5   1   8   7   2   6   9   3   0   4  10
13   5   1   8   7   2   6   9   3   0   4  10
14   5   1   8   7   2   6   9   3   0   4  10
15   5   1   8   7   2   6   9   3   0   4  10
16   5   1   8   7   2   6   9   3   0   4  10
17   8   1   5   7   2   6   9   3   0   4  10
18   5   1   8   7   2   6   9   3   0   4  10
19   5   1   8   7   2   6   9   3   0   4  10
20   5   1   8   7   2   6   9   3   0   4  10
21   5   1   8   7   2   6   9   3   0   4  10
22   5   1   8   7   2   6   9   3   0   4  10
23   5   1   8   7   2   6   9   3   0   4  10
24   5   1   8   7   2   6   9   3   0   4  10
25   5   1   8   7   2   6   9   3   0   4  10
26   5   1   8   2   7   6   9   3   0   4  10
27   5   1   8   7   2   6   9   3   0   4  10
28   5   1   8   7   2   6   9   3   0   4  10
29   5   1   8   7   2   6   9   3   0   4  10
30   5   1   8   2   7   6   9   3   0   4  10
31   5   1   8   7   2   6   9   3   0   4  10
32   5   1   8   7   2   6   9   3   0   4  10
33   5   1   8   7   2   6   9   3   0   4  10
34   5   1   8   2   7   6   9   3   0   4  10
35   5   1   8   7   2   6   9   3   0   4  10
36   5   1   8   7   2   6   9   3   0   4  10
37   5   1   8   7   2   6   9   3   0   4  10
38   5   1   8   7   2   6   9   3   0   4  10
39   5   1   8   7   2   6   9   3   0   4  10
40   5   1   8   7   2   6   9   3   0   4  10
41   5   1   8   7   2   6   9   3   0   4  10
42   5   1   8   7   2   6   9   3   0   4  10
43   5   1   8   7   2   6   9   3   0   4  10
44   5   1   8   7   2   6   9   3   0   4  10
45   5   1   8   7   2   6   9   3   0   4  10
46   5   1   8   7   2   6   9   3   0   4  10
47   5   1   8   7   2   6   9   3   0   4  10
48   5   1   8   7   2   6   9   3   0   4  10
49   5   1   8   7   2   6   9   3   0   4  10 


População final de genótipos (torneio)
     0   1   2   3   4   5   6   7   8   9   10
0    4   9   0   3   6   7   2   8   1   5  10
1    4   9   0   3   6   7   2   8   1   5  10
2    4   9   0   3   6   7   2   8   1   5  10
3    4   9   0   3  10   7   2   8   1   5   6
4    4   9   0   3   6   7   2   8   1   5  10
5    4   9   0   3   6   7   2   8   1   5  10
6    4   9   0   3   6   7   2   8   1   5  10
7    4   9   0   3   6   7   2   8   1   5  10
8    4   9   0   3   6   7   2   8   1   5  10
9    9   4   0   3   6   7   2   8   1   5  10
10   9   4   0   3   6   7   2   8   1   5  10
11   9   4   0   3   6   7   2   8   1   5  10
12   9   4   0   3   6   7   2   8   1   5  10
13   9   4   0   3   6   7   2   8   1   5  10
14   9   4   0   3   6   7   2   8   1   5  10
15   9   4   0   3   6   7   2   8   1   5  10
16   9   4   0   3   6   7   2   8   1   5  10
17   9   4   0   3   6   7   2   8   1   5  10
18   9   4   0   3   6   7   2   8   1   5  10
19   9   4   0   3   6   7   2   8   1   5  10
20   9   4   0   3   6   7   2   8   1   5  10
21   9   4   0   3   6   7   2   8   1   5  10
22   9   4   0   5   6   7   2  10   1   3   8
23   9   4   0   2   6   7   3   8   1   5  10
24   9   4   0   2   6   8   3   7   1   5  10
25   9   4   0   3   6   7   2   8   1   5  10
26   4   9   0   3   6   7   2   8   1   5  10
27   4   9   0   3   6   7   2   8   1   5  10
28   4   9   0   3   6   7   2  10   1   5   8
29   9   4   0   3   6   7   2   8   1   5  10
30   4   9   0   3   6   7   2   8   1   5  10
31   4   9   0   3   6   7   2   8   1   5  10
32   9   4   0   3   6   7   2   8   1   5  10
33   9   4   0   3   6   7   2   8   1   5  10
34   9   4   0   3   6   7   1   8   2   5  10
35   9   7   0   3   6   4   2   8   1   5  10
36   4   9   0   3   6   7   2   8   1   5  10
37   4   9   0   3   6   7   2   8   1   5  10
38   4   9   0   3   6   7   2   8   1   5  10
39   9   4   0   3   6   7   2   8   1   5  10
40   9   4   0   2   6   7   3   8   1   5  10
41   9   4   0   3   6   7   2   8   1   5  10
42   4   9   0   3   6   7   2   8   1   5  10
43   4   9   0   3   6   7   2  10   1   5   8
44   9   4   0   3   6   7   2   8   1   5  10
45   9   4   0   2   6   7   3   8   1   5  10
46   9   4   0   3   6   7   2   8   1   5  10
47   9   4   0   2   6   3   7   8   1   5  10
48   4   9   0   3   6   7   2   8   1   5  10
49   9   4   0   2   6   8   3   7   1   5  10 

13.333523856207902 14.125735100148312 16.683478522336237 13.3335238562079

População final de genótipos (elitismo)
     0   1   2   3   4   5   6   7   8   9   10
0    0   4  10   5   1   8   2   7   6   9   3
1    3   0   4  10   5   1   8   2   7   6   9
2    3   0   4  10   5   1   8   2   7   6   9
3    3   0   4  10   5   1   8   2   7   6   9
4    3   0   4  10   9   1   8   2   7   6   5
5    3   0   4  10   5   1   8   2   7   6   9
6    3   0   4  10   5   1   8   2   7   6   9
7    3   0  10   5   1   8   2   7   6   9   4
8    3   0  10   5   1   8   2   7   6   9   4
9    3   0  10   5   1   8   2   7   6   9   4
10   3   0  10   5   1   8   2   7   6   9   4
11   3   0  10   5   1   8   2   7   6   9   4
12   3   0  10   5   1   8   2   7   6   9   4
13   3   0  10   5   1   8   2   7   6   9   4
14   3   0  10   5   1   8   2   7   6   9   4
15   3   0  10   5   1   8   2   7   6   9   4
16   3   0  10   5   1   8   2   7   6   9   4
17   3   0  10   5   1   8   2   7   6   9   4
18   3   0  10   5   1   8   2   7   6   9   4
19   3   0  10   5   1   8   2   7   6   9   4
20   3   0  10   5   1   8   2   7   6   9   4
21   3   0  10   5   1   8   2   7   6   9   4
22   3   0  10   5   1   8   2   7   6   9   4
23   3   0  10   5   1   8   2   7   6   9   4
24   3   0  10   5   1   8   2   7   6   9   4
25   3   0  10   5   1   8   2   7   6   9   4
26   3   0  10   5   1   8   2   7   6   9   4
27   3   0   4  10   5   1   8   2   7   6   9
28   3   0  10   5   1   8   2   4   7   6   9
29   3   0  10   5   1   8   2   7   6   4   9
30   3   0  10   5   1   8   2   7   6   9   4
31   3   0   8   5   1  10   2   7   6   9   4
32   3   0  10   5   1   8   2   7   6   9   4
33   3   0   4  10   5   1   8   2   7   6   9
34   3   0   4  10   5   1   8   2   7   6   9
35   3   0  10   5   1   8   2   7   6   9   4
36   3   0  10   5   1   8   2   7   6   9   4
37   3   0  10   5   4   1   8   2   7   6   9
38   3   0  10   4   2   1   8   5   7   6   9
39   3   0   4  10   5   1   8   2   7   6   9
40   3   0  10   5   1   8   2   7   6   9   4
41   3   0  10   5   1   8   2   7   6   9   4
42   3   0   4  10   5   1   8   2   7   6   9
43   3   0  10   5   1   8   2   7   6   9   4
44   3   0  10   5   1   8   2   7   6   9   4
45   3   0  10   5   1   4   7   2   8   6   9
46   3   6  10   5   1   8   2   7   0   9   4
47   3   0  10   5   1   8   2   7   6   9   4
48   3   0   4  10   5   1   8   2   7   6   9
49   3   0  10   5   1   8   2   7   6   9   4 


População final de genótipos (torneio)
     0   1   2   3   4   5   6   7   8   9   10
0    6   7   2   8   5   1  10   0   3   4   9
1    6   7   2   8   5   1  10   0   3   4   9
2    6   7   2   8   5   1  10   0   3   4   9
3    6   7   2   8   5   1  10   0   3   4   9
4    6   7   2   8   5   1  10   0   3   4   9
5    6   7   2   8   5   1  10   0   3   4   9
6    6   7   2   8   5   1  10   0   3   4   9
7    6   7   2   8   5   1  10   0   3   4   9
8    6   7   2   8   5   1  10   0   3   4   9
9    6   7   2   8   5   1  10   0   3   4   9
10   6   7   2   8   5   1  10   0   3   4   9
11   6   7   2   8   5   1  10   0   3   4   9
12   6   7   2   8   5   1  10   0   3   4   9
13   6   7   2   8   5   1  10   0   3   4   9
14   6   7   2   8   5   1  10   0   3   4   9
15   6   7   2   8   5   1  10   0   3   4   9
16   6   7   2   8   5   1  10   0   3   4   9
17   6   7   2   8   5   1  10   0   3   4   9
18   6   7   2   8   5   1  10   0   3   4   9
19   6   7   2   8   5   1  10   0   3   4   9
20   6   7   2   8   5   1  10   0   3   4   9
21   9   6   7   2   8   5   1  10   0   3   4
22   6   7   2   8   5   1  10   0   3   4   9
23   6   7   2   8   5   1  10   9   0   3   4
24   7   6   2  10   5   1   8   9   0   3   4
25   6   7   2   8   5   1  10   9   0   3   4
26   6   7   2   8   5   1  10   0   3   4   9
27   6   7   2   8   5   1  10   0   3   4   9
28   7   6   2   8   5   1  10   0   3   4   9
29   6   7   2   8   5   1  10   0   3   4   9
30   6   7   2   8   5   1  10   0   3   4   9
31   6   7   2   8   5   1  10   0   3   4   9
32   6   7   2   8   5   1  10   0   3   4   9
33   7   6   2   8   5   1  10   0   3   4   9
34   6   7   2   8   5   1  10   0   3   4   9
35   9   6   7   2   8   5   1  10   0   3   4
36   6   7   2  10   5   1   8   0   3   4   9
37   6   7   2   8   5   1  10   0   3   4   9
38   7   6   2  10   5   1   8   9   0   3   4
39   6   7   2   8   5  10   1   9   0   3   4
40   6   7   2   8   5   1  10   0   3   4   9
41   3   7   2   8   5   1  10   0   6   4   9
42   6   7   2   8   5   1  10   0   3   4   9
43   6   7   2   8   5   1  10   0   3   4   9
44   6   7   2   8   5   1  10   0   3   9   4
45   6   7   2   8   5   1  10   0   3   4   9
46   6   7   2   8   5   1  10   0   3   4   9
47   9   6   7   2   8   5   1  10   0   3   4
48   6   7   2   8   5   1  10   0   3   4   9
49   6   7   2   8   5   1  10   0   3   4   9 


População final de genótipos (elitismo)
     0   1   2   3   4   5   6   7   8   9   10
0   10   4   1   5   8   2   7   6   9   3   0
1   10   4   1   5   8   2   7   6   9   3   0
2   10   4   1   5   8   2   7   6   9   3   0
3   10   4   1   5   8   2   7   6   9   3   0
4   10   4   1   5   8   2   7   6   9   3   0
5   10   4   1   5   8   2   7   6   9   3   0
6   10   4   1   5   8   2   7   6   9   3   0
7   10   4   1   5   8   2   7   6   9   3   0
8   10   4   1   5   8   2   7   6   9   3   0
9   10   4   1   5   8   2   7   6   9   3   0
10  10   4   1   5   8   2   7   6   9   3   0
11  10   4   1   5   8   2   7   6   9   3   0
12  10   4   1   5   8   2   7   6   9   3   0
13  10   4   1   5   8   2   7   6   9   3   0
14  10   4   1   5   8   2   7   6   9   3   0
